@RELATION data

@ATTRIBUTE time NUMERIC
@ATTRIBUTE vm1_OFBiz_ResponseInfo NUMERIC
@ATTRIBUTE vm1_Sigar_CPUUtil NUMERIC

@DATA
1387364606759,0.056,0.35302
1387364606759,0.056,0.35302
1387364606759,0.056,0.35302
1387364606759,0.056,0.35302
1387364606759,0.056,0.35302
1387364606759,0.056,0.35302
1387364606759,0.056,0.35302
1387364606759,0.056,0.35302
1387364606759,0.056,0.35302
1387364606759,0.056,0.35302
1387364606759,0.056,0.35302
1387364606851,0.114,0.36089
1387364606851,0.114,0.36089
1387364606851,0.114,0.36089
1387364606851,0.114,0.36089
1387364606851,0.114,0.36089
1387364606851,0.114,0.36089
1387364606851,0.114,0.36089
1387364606851,0.114,0.36089
1387364606851,0.114,0.36089
1387364606851,0.114,0.36089
1387364606851,0.114,0.36089
1387364610180,0.018,0.051781
1387364610180,0.018,0.051781
1387364610180,0.018,0.051781
1387364610180,0.018,0.051781
1387364610180,0.018,0.051781
1387364610180,0.018,0.051781
1387364610180,0.018,0.051781
1387364610180,0.018,0.051781
1387364610180,0.018,0.051781
1387364610180,0.018,0.051781
1387364610180,0.018,0.051781
1387364612543,0.019,0.15754
1387364612543,0.019,0.15754
1387364612543,0.019,0.15754
1387364612543,0.019,0.15754
1387364612543,0.019,0.15754
1387364612543,0.019,0.15754
1387364612543,0.019,0.15754
1387364612543,0.019,0.15754
1387364612543,0.019,0.15754
1387364612543,0.019,0.15754
1387364612543,0.019,0.15754
1387364618309,0.023,0.34179
1387364618309,0.023,0.34179
1387364618309,0.023,0.34179
1387364618309,0.023,0.34179
1387364618309,0.023,0.34179
1387364618309,0.023,0.34179
1387364618309,0.023,0.34179
1387364618309,0.023,0.34179
1387364618309,0.023,0.34179
1387364618309,0.023,0.34179
1387364618309,0.023,0.34179
1387364619717,0.018,0.19156
1387364619717,0.018,0.19156
1387364619717,0.018,0.19156
1387364619717,0.018,0.19156
1387364619717,0.018,0.19156
1387364619717,0.018,0.19156
1387364619717,0.018,0.19156
1387364619717,0.018,0.19156
1387364619717,0.018,0.19156
1387364619717,0.018,0.19156
1387364619717,0.018,0.19156
1387364620884,0.021,0.42447
1387364620884,0.021,0.42447
1387364620884,0.021,0.42447
1387364620884,0.021,0.42447
1387364620884,0.021,0.42447
1387364620884,0.021,0.42447
1387364620884,0.021,0.42447
1387364620884,0.021,0.42447
1387364620884,0.021,0.42447
1387364620884,0.021,0.42447
1387364620884,0.021,0.42447
1387364629039,0.04,0.23772
1387364629039,0.04,0.23772
1387364629039,0.04,0.23772
1387364629039,0.04,0.23772
1387364629039,0.04,0.23772
1387364629039,0.04,0.23772
1387364629039,0.04,0.23772
1387364629039,0.04,0.23772
1387364629039,0.04,0.23772
1387364629039,0.04,0.23772
1387364629039,0.04,0.23772
1387364658403,0.065,0.37811
1387364658403,0.065,0.37811
1387364658403,0.065,0.37811
1387364658403,0.065,0.37811
1387364658403,0.065,0.37811
1387364658403,0.065,0.37811
1387364658403,0.065,0.37811
1387364658403,0.065,0.37811
1387364658403,0.065,0.37811
1387364658403,0.065,0.37811
1387364658403,0.065,0.37811
